time,W,usage_c0,usage_c1,usage_c2,usage_c3,usage_c4,usage_c5,usage_c6,usage_c7,temp4,temp5,temp6,temp7,
1651446606.7445536,0.0,0.16399999999999998,0.266,0.009000000000000001,0.145,0.309,0.5589999999999999,0.222,0.252,34.0,37.0,42.0,35.0,
1651446606.9448712,0.0,0.0,0.28600000000000003,0.05,0.0,0.316,0.2,0.2,0.21100000000000002,38.0,37.0,39.0,35.0,
1651446607.1452043,0.0,0.05,0.28600000000000003,0.05,0.0,0.25,0.0,0.5,0.158,34.0,36.0,42.0,36.0,
1651446607.3455162,4.405,0.05,0.25,0.05,0.048,0.05,0.3,0.45,0.2,33.0,38.0,41.0,35.0,
1651446607.5457985,4.405,0.2,0.28600000000000003,0.105,0.158,0.21100000000000002,0.158,0.33299999999999996,0.45,35.0,37.0,40.0,38.0,
1651446607.7460895,4.405,0.19,0.316,0.1,0.4,0.85,0.25,0.16699999999999998,0.28600000000000003,39.0,38.0,39.0,36.0,
1651446607.9463754,4.405,0.0,0.23800000000000002,0.0,0.05,0.5,0.05,0.429,0.05,36.0,37.0,43.0,35.0,
1651446608.1466544,4.405,0.095,0.28600000000000003,0.0,0.0,0.526,0.0,0.368,0.05,38.0,37.0,40.0,35.0,
1651446608.3469422,4.95,0.0,0.25,0.0,0.0,0.381,0.35,0.0,0.23800000000000002,35.0,40.0,38.0,35.0,
1651446608.5472147,4.95,0.0,0.21100000000000002,0.0,0.0,0.35,0.35,0.0,0.2,35.0,37.0,38.0,38.0,
1651446608.7474976,4.95,0.05,0.21100000000000002,0.0,0.0,0.23800000000000002,0.4,0.273,0.19,35.0,40.0,38.0,35.0,
1651446608.9477954,4.95,0.0,0.2,0.0,0.0,0.2,0.35,0.158,0.21100000000000002,35.0,37.0,42.0,36.0,
1651446609.1480978,4.95,0.05,0.25,0.0,0.0,0.381,0.158,0.381,0.0,39.0,36.0,40.0,35.0,
1651446609.3483884,4.565,0.048,0.1,0.0,0.05,0.21100000000000002,0.45,0.2,0.2,35.0,40.0,41.0,35.0,
1651446609.5487,4.565,0.0,0.0,0.0,0.0,0.0,0.619,0.21100000000000002,0.2,35.0,39.0,44.0,35.0,
1651446609.7490149,4.565,0.05,0.0,0.0,0.0,0.0,0.381,0.524,0.2,34.0,38.0,41.0,39.0,
1651446609.9493186,4.565,0.0,0.0,0.0,0.048,0.05,0.35,0.429,0.368,35.0,41.0,40.0,36.0,
1651446610.1496296,4.565,0.05,0.0,0.0,0.0,0.4,0.21100000000000002,0.0,0.45,36.0,37.0,39.0,40.0,
1651446610.349927,4.867,0.05,0.0,0.0,0.0,0.05,0.1,0.35,0.619,35.0,38.0,40.0,39.0,
1651446610.5502324,4.867,0.05,0.0,0.0,0.0,0.35,0.667,0.095,0.05,36.0,42.0,40.0,36.0,
1651446610.750534,4.867,0.0,0.0,0.0,0.0,0.15,0.381,0.05,0.5710000000000001,40.0,38.0,40.0,37.0,
1651446610.9508183,4.867,0.095,0.0,0.0,0.0,0.158,0.368,0.053,0.55,39.0,39.0,40.0,37.0,
1651446611.1511014,4.867,0.0,0.0,0.0,0.0,0.47600000000000003,0.2,0.25,0.158,36.0,38.0,42.0,38.0,
1651446611.3513956,4.867,0.0,0.0,0.0,0.0,0.2,0.2,0.15,0.5710000000000001,36.0,41.0,40.0,38.0,
1651446611.5517147,4.809,0.05,0.0,0.0,0.05,0.2,0.158,0.05,0.65,36.0,37.0,40.0,41.0,
1651446611.7520661,4.809,0.05,0.0,0.0,0.048,0.35,0.095,0.105,0.55,38.0,37.0,43.0,37.0,
1651446611.9523747,4.809,0.0,0.0,0.0,0.0,0.45,0.05,0.263,0.4,41.0,37.0,40.0,37.0,
1651446612.152679,4.809,0.05,0.0,0.0,0.0,0.5,0.0,0.21100000000000002,0.368,40.0,38.0,40.0,38.0,
1651446612.3529868,4.939,0.095,0.048,0.095,0.0,0.158,0.21100000000000002,0.524,0.2,35.0,39.0,46.0,37.0,
1651446612.5533094,4.939,0.0,0.0,0.0,0.0,0.048,0.0,0.15,0.857,35.0,37.0,44.0,39.0,
1651446612.7536294,4.939,0.0,0.0,0.0,0.0,0.158,0.524,0.158,0.158,36.0,40.0,43.0,37.0,
1651446612.9539213,4.939,0.0,0.0,0.0,0.0,0.21100000000000002,0.579,0.33299999999999996,0.095,36.0,42.0,41.0,36.0,
1651446613.1542253,4.939,0.095,0.0,0.0,0.0,0.2,0.2,0.55,0.21100000000000002,37.0,39.0,45.0,37.0,
1651446613.3545258,4.882,0.05,0.0,0.0,0.0,0.3,0.35,0.0,0.4,40.0,38.0,40.0,38.0,
1651446613.5548258,4.882,0.05,0.0,0.0,0.0,0.42100000000000004,0.4,0.25,0.05,37.0,41.0,43.0,37.0,
1651446613.7551055,4.882,0.0,0.0,0.0,0.048,0.368,0.158,0.35,0.21100000000000002,40.0,39.0,41.0,38.0,
1651446613.9554071,4.882,0.05,0.0,0.0,0.0,0.304,0.2,0.158,0.5,36.0,39.0,41.0,40.0,
1651446614.1557076,4.87,0.05,0.0,0.0,0.0,0.278,0.158,0.23800000000000002,0.4,40.0,38.0,40.0,38.0,
1651446614.3560605,4.87,0.05,0.0,0.0,0.0,0.25,0.8,0.05,0.05,37.0,43.0,40.0,36.0,
1651446614.5563428,4.87,0.0,0.0,0.0,0.048,0.25,0.3,0.0,0.526,38.0,39.0,40.0,39.0,
1651446614.7566574,4.87,0.0,0.0,0.0,0.0,0.15,0.2,0.7,0.0,36.0,39.0,47.0,37.0,
1651446614.9569664,4.87,0.095,0.0,0.0,0.0,0.4,0.33299999999999996,0.4,0.05,37.0,41.0,42.0,37.0,
1651446615.1572669,5.111,0.053,0.0,0.0,0.0,0.095,0.3,0.316,0.47600000000000003,36.0,39.0,42.0,41.0,
1651446615.3575463,5.111,0.05,0.0,0.0,0.0,0.368,0.0,0.2,0.474,41.0,38.0,41.0,38.0,
1651446615.5578604,5.111,0.0,0.0,0.0,0.05,0.0,0.5,0.05,0.5,36.0,38.0,41.0,41.0,
1651446615.7581716,5.111,0.0,0.0,0.0,0.0,0.273,0.65,0.095,0.2,37.0,42.0,40.0,37.0,
1651446615.958475,5.111,0.048,0.0,0.0,0.0,0.368,0.25,0.158,0.263,37.0,39.0,43.0,39.0,
1651446616.1587534,5.111,0.0,0.0,0.0,0.0,0.4,0.21100000000000002,0.273,0.3,39.0,41.0,41.0,37.0,
1651446616.359053,5.111,0.15,0.0,0.0,0.0,0.524,0.2,0.35,0.05,37.0,39.0,46.0,37.0,
1651446616.559387,4.76,0.0,0.0,0.0,0.0,0.35,0.273,0.35,0.23800000000000002,36.0,39.0,44.0,38.0,
1651446616.7596989,4.76,0.048,0.0,0.0,0.0,0.35,0.21100000000000002,0.21100000000000002,0.3,37.0,39.0,41.0,41.0,
1651446616.9599924,4.76,0.05,0.0,0.048,0.05,0.05,0.35,0.2,0.474,36.0,39.0,41.0,40.0,
1651446617.160289,4.76,0.0,0.0,0.0,0.0,0.2,0.21100000000000002,0.21100000000000002,0.5,40.0,39.0,41.0,38.0,
1651446617.3605855,4.634,0.095,0.0,0.0,0.05,0.526,0.158,0.0,0.35,37.0,39.0,40.0,41.0,
1651446617.5608835,4.634,0.05,0.0,0.0,0.0,0.05,0.05,0.47600000000000003,0.6,36.0,39.0,44.0,40.0,
1651446617.761171,4.634,0.0,0.0,0.0,0.0,0.4,0.053,0.45,0.158,39.0,39.0,44.0,38.0,
1651446617.9614766,4.634,0.095,0.0,0.0,0.0,0.158,0.316,0.25,0.368,36.0,42.0,41.0,39.0,
1651446618.1617763,4.943,0.05,0.0,0.0,0.0,0.47600000000000003,0.25,0.16699999999999998,0.23800000000000002,42.0,39.0,41.0,37.0,
1651446618.3620677,4.943,0.0,0.0,0.0,0.0,0.632,0.21100000000000002,0.23800000000000002,0.05,38.0,41.0,43.0,37.0,
1651446618.5623689,4.943,0.05,0.0,0.05,0.0,0.05,0.33299999999999996,0.0,0.684,37.0,38.0,41.0,42.0,
1651446618.7626889,4.943,0.048,0.0,0.0,0.0,0.316,0.05,0.381,0.316,36.0,39.0,43.0,41.0,
1651446618.9629934,4.943,0.0,0.0,0.0,0.0,0.0,0.4,0.25,0.5,36.0,40.0,42.0,40.0,
1651446619.1632924,4.943,0.095,0.0,0.0,0.0,0.368,0.0,0.263,0.45,37.0,39.0,44.0,39.0,
1651446619.363593,5.008,0.0,0.0,0.048,0.0,0.25,0.23800000000000002,0.47600000000000003,0.2,41.0,39.0,43.0,38.0,
1651446619.5639095,5.008,0.0,0.0,0.0,0.0,0.65,0.05,0.35,0.095,37.0,39.0,46.0,37.0,
1651446619.7640886,5.008,0.048,0.0,0.0,0.0,0.05,0.5,0.368,0.25,36.0,42.0,42.0,38.0,
1651446619.9643805,5.008,0.05,0.0,0.0,0.0,0.05,0.42100000000000004,0.3,0.368,36.0,40.0,44.0,39.0,
1651446620.1646876,5.008,0.05,0.0,0.0,0.0,0.35,0.23800000000000002,0.19,0.35,39.0,40.0,43.0,38.0,
