time,W,usage_c0,usage_c1,usage_c2,usage_c3,usage_c4,usage_c5,usage_c6,usage_c7,temp4,temp5,temp6,temp7,
1650839367.2542806,0.0,0.273,0.636,0.6920000000000001,0.667,0.667,0.6920000000000001,0.9,0.727,36.0,39.0,45.0,36.0,
1650839367.4545834,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.048,33.0,37.0,46.0,35.0,
1650839367.6548758,0.0,0.05,0.0,0.136,0.05,0.05,0.05,0.9,0.095,33.0,37.0,47.0,34.0,
1650839367.8551598,0.0,0.0,0.0,0.0,0.0,0.053,0.0,0.9470000000000001,0.048,36.0,37.0,44.0,35.0,
1650839368.055469,0.0,0.9,0.25,0.895,0.905,0.7829999999999999,0.737,0.619,0.632,40.0,44.0,47.0,40.0,
1650839368.2557414,5.473,1.0,0.55,1.0,1.0,0.7140000000000001,0.682,0.85,0.682,41.0,44.0,51.0,41.0,
1650839368.4561546,5.473,0.684,0.429,0.65,0.8420000000000001,0.696,0.762,0.857,0.762,44.0,47.0,50.0,43.0,
1650839368.6566563,5.473,0.45,0.474,0.263,0.55,0.762,0.833,0.8420000000000001,0.762,45.0,48.0,52.0,44.0,
1650839368.8570318,5.473,0.65,0.611,0.6,0.35,0.722,0.773,0.85,0.8420000000000001,44.0,49.0,53.0,45.0,
1650839369.0572994,5.473,0.667,0.381,0.263,0.368,0.75,0.8420000000000001,0.789,0.81,47.0,49.0,54.0,45.0,
1650839369.2575839,5.473,0.5,0.579,0.381,0.16699999999999998,0.833,0.8,0.8420000000000001,0.737,47.0,49.0,55.0,45.0,
1650839369.4578342,5.473,0.5710000000000001,0.524,0.3,0.348,0.75,0.75,0.75,0.789,47.0,51.0,53.0,46.0,
1650839369.6582172,8.057,0.579,0.526,0.611,0.5,0.9,0.722,0.737,0.8,49.0,50.0,53.0,47.0,
1650839369.858496,8.057,0.368,0.7140000000000001,0.368,0.4,0.8420000000000001,0.789,0.8,0.789,48.0,51.0,54.0,46.0,
1650839370.0588908,8.057,0.478,0.45,0.55,0.429,0.8,0.8640000000000001,0.85,0.789,48.0,53.0,55.0,47.0,
1650839370.2592692,8.157,0.7,0.556,0.55,0.5,0.684,0.75,0.75,0.826,47.0,51.0,54.0,47.0,
1650839370.4595394,8.157,0.444,0.33299999999999996,0.35,0.316,0.789,0.85,0.8420000000000001,0.789,48.0,52.0,56.0,48.0,
1650839370.6597998,8.157,0.762,0.667,0.3,0.4,0.833,0.778,0.647,0.85,50.0,52.0,55.0,49.0,
1650839370.8600817,8.157,0.684,0.42100000000000004,0.478,0.526,0.8420000000000001,0.722,0.688,0.85,50.0,51.0,56.0,48.0,
1650839371.0603454,8.157,0.55,0.47600000000000003,0.4,0.55,0.773,0.833,0.818,0.75,49.0,53.0,55.0,48.0,
1650839371.2607353,8.054,0.632,0.4,0.579,0.429,0.789,0.857,0.81,0.857,46.0,51.0,54.0,47.0,
1650839371.4611986,8.054,0.667,0.45,0.45,0.5,0.737,0.737,0.8420000000000001,0.7140000000000001,49.0,54.0,56.0,48.0,
1650839371.6616712,8.054,0.5,0.65,0.55,0.667,0.762,0.789,0.778,0.833,49.0,53.0,57.0,49.0,
1650839371.8621435,8.054,0.7,0.55,0.42100000000000004,0.409,0.8,0.789,0.8,0.778,50.0,54.0,57.0,49.0,
1650839372.0626285,8.054,0.632,0.529,0.556,0.375,0.85,0.684,0.8420000000000001,0.684,50.0,53.0,57.0,49.0,
1650839372.263103,8.054,0.5710000000000001,0.619,0.25,0.381,0.8420000000000001,0.8,0.667,0.833,51.0,54.0,56.0,50.0,
1650839372.4635966,8.004,0.682,0.7,0.45,0.429,0.737,0.818,0.81,0.8,51.0,54.0,57.0,50.0,
1650839372.6641855,8.004,0.6,0.579,0.526,0.35,0.8,0.81,0.778,0.833,50.0,54.0,57.0,49.0,
1650839372.8646562,8.004,0.529,0.579,0.47600000000000003,0.33299999999999996,0.789,0.789,0.905,0.789,51.0,53.0,59.0,49.0,
1650839373.0650294,8.004,0.5710000000000001,0.55,0.632,0.5,0.7,0.7,0.778,0.7,50.0,54.0,58.0,49.0,
1650839373.265432,8.004,0.3,0.278,0.316,0.579,0.778,0.8,0.818,0.81,50.0,54.0,59.0,49.0,
1650839373.4659107,7.809,0.667,0.611,0.47600000000000003,0.55,0.85,0.773,0.8,0.8420000000000001,50.0,54.0,57.0,50.0,
1650839373.6663888,7.809,0.278,0.45,0.579,0.579,0.75,0.722,0.737,0.789,52.0,54.0,59.0,50.0,
1650839373.8668737,7.809,0.667,0.429,0.47600000000000003,0.25,0.737,0.8,0.889,0.706,52.0,54.0,58.0,49.0,
1650839374.06735,7.809,0.42100000000000004,0.389,0.6,0.368,0.818,0.722,0.826,0.81,51.0,55.0,59.0,49.0,
1650839374.2678595,8.107,0.5,0.222,0.55,0.316,0.85,0.81,0.737,0.8,49.0,54.0,56.0,48.0,
1650839374.4683332,8.107,0.75,0.474,0.611,0.35,0.765,0.85,0.737,0.8,51.0,54.0,59.0,50.0,
1650839374.6688077,8.107,0.5,0.368,0.42100000000000004,0.444,0.75,0.8,0.85,0.8,52.0,55.0,59.0,51.0,
1650839374.8691828,8.107,0.45,0.25,0.619,0.263,0.8,0.81,0.8640000000000001,0.789,51.0,55.0,59.0,50.0,
1650839375.0694566,8.107,0.65,0.474,0.545,0.455,0.833,0.737,0.722,0.789,52.0,54.0,59.0,50.0,
1650839375.269741,8.241,0.526,0.5710000000000001,0.45,0.526,0.75,0.833,0.722,0.833,52.0,56.0,58.0,51.0,
1650839375.4701412,8.241,0.444,0.42100000000000004,0.368,0.35,0.8,0.8,0.818,0.727,52.0,55.0,58.0,50.0,
1650839375.6706238,8.241,0.45,0.524,0.45,0.368,0.857,0.789,0.737,0.789,52.0,55.0,60.0,51.0,
1650839375.8711116,8.241,0.526,0.35,0.632,0.429,0.789,0.789,0.95,0.737,52.0,56.0,60.0,50.0,
1650839376.0716074,8.241,0.684,0.75,0.526,0.3,0.85,0.8,0.8420000000000001,0.818,52.0,55.0,61.0,50.0,
1650839376.272197,8.187,0.75,0.474,0.5,0.579,0.789,0.737,0.762,0.762,52.0,55.0,59.0,50.0,
1650839376.472591,8.187,0.5,0.632,0.5,0.444,0.8,0.789,0.722,0.789,52.0,56.0,58.0,51.0,
1650839376.6728854,8.187,0.611,0.316,0.47600000000000003,0.28600000000000003,0.8,0.85,0.8,0.8420000000000001,53.0,55.0,59.0,51.0,
1650839376.8732643,8.187,0.773,0.45,0.368,0.545,0.81,0.737,0.857,0.8,52.0,55.0,59.0,51.0,
1650839377.0736618,8.187,0.444,0.21100000000000002,0.526,0.16699999999999998,0.857,0.857,0.75,0.789,53.0,56.0,58.0,51.0,
1650839377.2740457,8.187,0.45,0.5710000000000001,0.42100000000000004,0.25,0.778,0.75,0.857,0.762,52.0,56.0,60.0,50.0,
1650839377.4746373,8.122,0.65,0.45,0.364,0.429,0.8,0.81,0.8,0.789,51.0,56.0,60.0,51.0,
1650839377.6751583,8.122,0.444,0.5,0.42100000000000004,0.368,0.778,0.833,0.85,0.778,52.0,57.0,59.0,51.0,
1650839377.875442,8.122,0.7,0.5,0.5,0.35,0.85,0.8,0.778,0.778,53.0,56.0,60.0,52.0,
1650839378.0758204,8.122,0.722,0.318,0.429,0.579,0.75,0.75,0.789,0.81,53.0,56.0,60.0,52.0,
1650839378.2763515,8.16,0.7140000000000001,0.55,0.6,0.6,0.81,0.7,0.8,0.75,52.0,56.0,60.0,52.0,
1650839378.4768205,8.16,0.579,0.47100000000000003,0.381,0.5,0.765,0.737,0.857,0.789,50.0,55.0,60.0,50.0,
1650839378.6771948,8.16,0.65,0.55,0.316,0.45,0.8,0.81,0.789,0.75,52.0,56.0,59.0,51.0,
1650839378.877459,8.16,0.17600000000000002,0.368,0.42100000000000004,0.4,0.833,0.8420000000000001,0.789,0.789,54.0,56.0,59.0,51.0,
1650839379.0778425,8.16,0.524,0.368,0.5710000000000001,0.33299999999999996,0.778,0.75,0.789,0.8,52.0,56.0,59.0,52.0,
1650839379.2782187,7.996,0.579,0.389,0.474,0.5710000000000001,0.722,0.778,0.75,0.8,53.0,56.0,60.0,51.0,
1650839379.4785025,7.996,0.5,0.42100000000000004,0.33299999999999996,0.5,0.8,0.8420000000000001,0.778,0.778,52.0,57.0,59.0,52.0,
1650839379.6787846,7.996,0.389,0.41200000000000003,0.353,0.33299999999999996,0.8420000000000001,0.857,0.778,0.857,54.0,56.0,61.0,53.0,
1650839379.879048,7.996,0.65,0.3,0.682,0.556,0.722,0.8,0.81,0.778,52.0,56.0,61.0,52.0,
1650839380.0794327,7.996,0.474,0.524,0.524,0.3,0.778,0.762,0.789,0.8420000000000001,53.0,57.0,60.0,52.0,
1650839380.2799292,8.237,0.722,0.632,0.55,0.429,0.75,0.85,0.762,0.81,54.0,56.0,60.0,52.0,
1650839380.4804132,8.237,0.526,0.42100000000000004,0.35,0.47600000000000003,0.8240000000000001,0.773,0.778,0.789,53.0,56.0,61.0,52.0,
1650839380.6807845,8.237,0.667,0.474,0.5,0.42100000000000004,0.857,0.722,0.9,0.81,53.0,56.0,62.0,51.0,
1650839380.8810701,8.237,0.579,0.278,0.579,0.526,0.8,0.8420000000000001,0.75,0.773,51.0,58.0,60.0,51.0,
1650839381.0813556,8.237,0.81,0.55,0.45,0.55,0.737,0.81,0.8,0.882,52.0,57.0,61.0,52.0,
1650839381.2816203,8.237,0.81,0.524,0.15,0.409,0.75,0.789,0.789,0.8,53.0,57.0,61.0,53.0,
1650839381.4818878,8.18,0.579,0.75,0.429,0.524,0.722,0.75,0.789,0.8420000000000001,53.0,56.0,59.0,53.0,
1650839381.682165,8.18,0.6,0.65,0.2,0.444,0.8,0.722,0.85,0.778,54.0,56.0,60.0,52.0,
1650839381.8824298,8.18,0.611,0.65,0.33299999999999996,0.3,0.85,0.81,0.7140000000000001,0.8,54.0,57.0,60.0,52.0,
1650839382.0828247,8.18,0.75,0.5710000000000001,0.632,0.35,0.905,0.789,0.722,0.857,53.0,56.0,59.0,52.0,
1650839382.283219,8.283,0.722,0.722,0.235,0.611,0.8,0.722,0.762,0.8420000000000001,54.0,56.0,60.0,52.0,
1650839382.4834557,8.283,0.389,0.45,0.263,0.524,0.8,0.8420000000000001,0.737,0.762,53.0,57.0,61.0,52.0,
1650839382.6838431,8.283,0.737,0.55,0.455,0.33299999999999996,0.85,0.75,0.8,0.75,54.0,56.0,60.0,52.0,
1650839382.8840818,8.283,0.368,0.6,0.524,0.429,0.789,0.8,0.762,0.818,53.0,58.0,60.0,52.0,
1650839383.0843456,8.283,0.55,0.389,0.316,0.3,0.905,0.81,0.8,0.789,55.0,57.0,60.0,52.0,
1650839383.284628,8.122,0.632,0.524,0.524,0.25,0.8420000000000001,0.778,0.85,0.81,54.0,57.0,62.0,53.0,
1650839383.485023,8.122,0.684,0.42100000000000004,0.35,0.105,0.773,0.778,0.81,0.85,53.0,58.0,61.0,53.0,
1650839383.6854973,8.122,0.5710000000000001,0.381,0.55,0.429,0.8420000000000001,0.762,0.857,0.722,53.0,57.0,61.0,52.0,
1650839383.8859794,8.122,0.526,0.368,0.47600000000000003,0.47600000000000003,0.75,0.789,0.737,0.81,52.0,57.0,60.0,52.0,
1650839384.0863385,8.122,0.353,0.75,0.5,0.444,0.737,0.789,0.75,0.75,54.0,57.0,60.0,52.0,
1650839384.2867212,7.905,0.727,0.667,0.632,0.35,0.81,0.8,0.65,0.81,52.0,56.0,60.0,52.0,
1650839384.4872127,7.905,0.579,0.526,0.55,0.35,0.833,0.8420000000000001,0.789,0.762,54.0,57.0,60.0,53.0,
1650839384.6875935,7.905,0.684,0.47600000000000003,0.4,0.524,0.706,0.778,0.81,0.895,53.0,57.0,60.0,53.0,
1650839384.8878567,7.905,0.65,0.5,0.429,0.455,0.7,0.85,0.778,0.75,53.0,58.0,61.0,53.0,
1650839385.0880766,7.905,0.611,0.42100000000000004,0.5,0.611,0.8,0.818,0.8,0.789,53.0,57.0,61.0,52.0,
1650839385.288357,7.905,0.474,0.263,0.5,0.35,0.762,0.789,0.85,0.8,54.0,57.0,61.0,53.0,
1650839385.488627,7.905,0.4,0.7,0.28600000000000003,0.409,0.895,0.8,0.737,0.8,54.0,57.0,61.0,53.0,
1650839385.6890152,7.905,0.556,0.5,0.4,0.316,0.737,0.737,0.778,0.762,54.0,56.0,60.0,51.0,
1650839385.8893783,8.214,0.682,0.45,0.524,0.47600000000000003,0.85,0.75,0.75,0.778,52.0,57.0,62.0,52.0,
1650839386.0897427,8.214,0.611,0.278,0.42100000000000004,0.368,0.75,0.8,0.8640000000000001,0.8,53.0,57.0,62.0,52.0,
1650839386.2901294,8.134,0.75,0.35,0.455,0.4,0.85,0.75,0.737,0.75,52.0,56.0,59.0,51.0,
1650839386.4905217,8.134,0.579,0.684,0.444,0.222,0.737,0.833,0.789,0.778,53.0,58.0,61.0,52.0,
1650839386.6907833,8.134,0.526,0.316,0.368,0.4,0.81,0.818,0.857,0.857,53.0,57.0,63.0,52.0,
1650839386.891055,8.134,0.632,0.368,0.45,0.316,0.778,0.8420000000000001,0.737,0.8420000000000001,54.0,58.0,61.0,53.0,
1650839387.0913286,8.134,0.526,0.4,0.478,0.429,0.8420000000000001,0.8,0.789,0.789,55.0,57.0,61.0,54.0,
1650839387.2916098,8.321,0.65,0.55,0.474,0.524,0.7829999999999999,0.762,0.905,0.789,54.0,57.0,63.0,53.0,
1650839387.491888,8.321,0.526,0.47600000000000003,0.45,0.42100000000000004,0.85,0.75,0.87,0.684,54.0,58.0,63.0,53.0,
1650839387.6920722,8.321,0.47600000000000003,0.368,0.45,0.524,0.75,0.765,0.789,0.8240000000000001,55.0,57.0,62.0,53.0,
1650839387.892356,8.321,0.556,0.273,0.47600000000000003,0.45,0.81,0.8420000000000001,0.85,0.818,54.0,58.0,62.0,53.0,
