time,W,usage_c0,usage_c1,usage_c2,usage_c3,usage_c4,usage_c5,usage_c6,usage_c7,temp4,temp5,temp6,temp7,
1651449470.3170853,0.0,0.17,0.12300000000000001,0.136,0.034,0.131,0.131,0.299,0.838,33.0,34.0,38.0,42.0,
1651449470.5173619,0.0,0.105,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.0,34.0,38.0,43.0,
1651449470.7176197,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,1.0,34.0,34.0,38.0,43.0,
1651449470.9179647,0.0,0.095,0.0,0.091,0.0,0.0,0.048,0.0,1.0,34.0,35.0,39.0,43.0,
1651449471.1182446,0.0,0.0,0.0,0.0,0.048,0.091,0.095,0.05,0.9,34.0,35.0,39.0,43.0,
1651449471.3185294,4.95,0.1,0.0,0.0,0.0,0.0,0.05,0.05,1.0,34.0,35.0,39.0,43.0,
1651449471.5188122,4.95,0.0,0.0,0.048,0.0,0.0,0.0,0.0,1.0,34.0,35.0,39.0,43.0,
1651449471.7190886,4.95,0.05,0.0,0.05,0.0,0.05,0.0,0.136,1.0,34.0,35.0,39.0,44.0,
1651449471.919363,4.95,0.05,0.0,0.0,0.0,0.0,0.048,0.0,1.0,34.0,35.0,39.0,43.0,
1651449472.1196375,4.95,0.05,0.0,0.05,0.0,0.095,0.0,0.0,1.0,34.0,35.0,39.0,44.0,
1651449472.3199165,5.034,0.095,0.0,0.048,0.0,0.0,0.095,0.0,1.0,34.0,35.0,39.0,44.0,
1651449472.5202007,5.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.0,35.0,39.0,44.0,
1651449472.7204723,5.034,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1.0,34.0,35.0,39.0,44.0,
