time,W,usage_c0,usage_c1,usage_c2,usage_c3,usage_c4,usage_c5,usage_c6,usage_c7,temp4,temp5,temp6,temp7,
1651449089.5824692,0.0,0.857,0.833,0.833,0.0,1.0,0.833,0.857,1.0,37.0,36.0,38.0,37.0,
1651449089.7827516,0.0,1.0,0.95,1.0,0.158,1.0,1.0,1.0,1.0,39.0,41.0,43.0,40.0,
1651449089.983041,0.0,0.095,0.05,0.0,0.05,0.9470000000000001,0.05,0.0,0.048,40.0,35.0,37.0,34.0,
1651449090.1833274,0.0,0.05,0.0,0.0,0.05,1.0,0.095,0.0,0.1,41.0,35.0,37.0,35.0,
1651449090.383622,0.0,0.0,0.136,0.0,0.0,1.0,0.136,0.0,0.19,42.0,35.0,37.0,35.0,
1651449090.5839102,0.0,0.05,0.0,0.0,0.0,0.9520000000000001,0.1,0.05,0.158,42.0,36.0,37.0,35.0,
1651449090.784192,0.0,0.0,0.05,0.05,0.095,0.684,0.0,0.35,0.15,38.0,36.0,42.0,35.0,
1651449090.9844677,0.0,0.14300000000000002,0.0,0.05,0.0,0.5,0.0,0.526,0.15,38.0,37.0,43.0,36.0,
1651449091.1847477,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.5,0.15,38.0,37.0,42.0,36.0,
1651449091.3850162,0.0,0.048,0.05,0.05,0.0,0.684,0.053,0.33299999999999996,0.15,39.0,37.0,39.0,37.0,
1651449091.585292,0.0,0.0,0.0,0.0,0.0,0.0,0.381,0.15,0.667,35.0,40.0,40.0,38.0,
1651449091.7855616,0.0,0.0,0.053,0.091,0.1,0.25,0.579,0.2,0.23800000000000002,36.0,40.0,41.0,36.0,
1651449091.9858422,0.0,0.0,0.0,0.0,0.0,0.33299999999999996,0.3,0.15,0.474,38.0,37.0,39.0,39.0,
1651449092.1861317,0.0,0.0,0.0,0.0,0.0,0.55,0.15,0.048,0.5,39.0,37.0,39.0,38.0,
1651449092.3864167,5.191,0.2,0.0,0.0,0.0,0.6,0.15,0.05,0.42100000000000004,42.0,37.0,39.0,37.0,
1651449092.5867064,5.191,0.0,0.048,0.05,0.0,1.0,0.15,0.0,0.05,43.0,38.0,38.0,36.0,
1651449092.7869887,5.191,0.1,0.1,0.0,0.053,1.0,0.2,0.0,0.091,43.0,38.0,39.0,36.0,
1651449092.9872713,5.191,0.05,0.0,0.091,0.05,1.0,0.15,0.048,0.05,44.0,38.0,38.0,36.0,
1651449093.1875625,5.191,0.0,0.05,0.048,0.0,1.0,0.15,0.05,0.0,44.0,38.0,38.0,36.0,
1651449093.3878436,5.191,0.0,0.048,0.0,0.05,1.0,0.19,0.0,0.0,43.0,38.0,38.0,36.0,
1651449093.5880814,5.183,0.14300000000000002,0.0,0.0,0.0,0.9,0.053,0.053,0.15,43.0,38.0,38.0,36.0,
1651449093.7883675,5.183,0.0,0.095,0.0,0.1,1.0,0.0,0.0,0.15,44.0,37.0,38.0,37.0,
1651449093.9886632,5.183,0.0,0.0,0.05,0.0,0.762,0.15,0.105,0.15,38.0,39.0,42.0,38.0,
1651449094.188948,5.183,0.15,0.053,0.0,0.048,0.45,0.19,0.47600000000000003,0.19,39.0,39.0,44.0,36.0,
1651449094.389222,5.157,0.105,0.053,0.05,0.0,0.444,0.15,0.619,0.0,38.0,39.0,46.0,36.0,
1651449094.5895388,5.157,0.053,0.0,0.048,0.0,0.048,0.15,1.0,0.0,35.0,40.0,49.0,36.0,
1651449094.789817,5.157,0.105,0.105,0.0,0.053,0.136,0.15,0.95,0.0,35.0,40.0,50.0,37.0,
1651449094.99011,5.157,0.0,0.0,0.0,0.0,0.0,0.15,1.0,0.05,35.0,40.0,50.0,37.0,
1651449095.1903925,5.157,0.0,0.0,0.0,0.048,0.05,0.158,1.0,0.0,35.0,40.0,50.0,37.0,
1651449095.3906765,5.179,0.105,0.0,0.048,0.05,0.0,0.19,1.0,0.05,36.0,41.0,50.0,37.0,
1651449095.5909693,5.179,0.095,0.0,0.0,0.0,0.048,0.15,1.0,0.0,35.0,41.0,50.0,37.0,
1651449095.7912538,5.179,0.0,0.05,0.0,0.053,0.0,0.15,1.0,0.095,35.0,41.0,50.0,37.0,
1651449095.991546,5.179,0.1,0.0,0.095,0.0,0.0,0.3,0.857,0.095,35.0,43.0,46.0,37.0,
1651449096.191828,5.179,0.15,0.0,0.05,0.0,0.3,0.2,0.15,0.579,37.0,42.0,42.0,38.0,
1651449096.3920732,5.187,0.0,0.0,0.0,0.0,0.316,0.21100000000000002,0.25,0.429,41.0,38.0,42.0,39.0,
1651449096.5923615,5.187,0.095,0.0,0.0,0.0,1.0,0.0,0.15,0.0,44.0,38.0,41.0,37.0,
1651449096.7926455,5.187,0.0,0.0,0.05,0.053,0.8420000000000001,0.0,0.25,0.105,41.0,39.0,44.0,38.0,
1651449096.9929316,5.187,0.0,0.0,0.0,0.0,0.19,0.28600000000000003,0.42100000000000004,0.316,37.0,42.0,41.0,40.0,
