time,W,usage_c0,usage_c1,usage_c2,usage_c3,usage_c4,usage_c5,usage_c6,usage_c7,temp4,temp5,temp6,temp7,
1650670134.2009687,0.0,0.4,0.8,1.0,1.0,1.0,1.0,1.0,1.0,36.0,41.0,42.0,36.0,
1650670134.4012706,0.0,0.737,0.111,0.737,0.7,0.727,0.9520000000000001,0.762,0.75,35.0,43.0,40.0,36.0,
1650670134.601563,0.0,0.048,0.05,0.0,0.0,0.0,1.0,0.0,0.0,34.0,42.0,38.0,34.0,
1650670134.801851,0.0,0.053,0.0,0.095,0.05,0.5,0.368,0.05,0.19,36.0,36.0,37.0,35.0,
1650670135.0021284,4.935,0.905,0.429,0.9470000000000001,0.95,0.42100000000000004,0.4,0.45,0.5,38.0,39.0,42.0,38.0,
1650670135.2025387,4.935,0.667,0.0,0.762,0.762,0.556,0.588,0.579,0.556,42.0,43.0,46.0,40.0,
1650670135.403025,4.935,0.33299999999999996,0.35,0.053,0.095,0.889,0.81,0.8420000000000001,0.85,43.0,45.0,49.0,42.0,
1650670135.603526,4.935,0.278,0.263,0.2,0.0,0.8420000000000001,0.85,0.85,0.85,44.0,47.0,51.0,44.0,
1650670135.804148,4.935,0.21100000000000002,0.105,0.15,0.053,0.857,0.895,0.8420000000000001,0.9,47.0,49.0,53.0,45.0,
1650670136.0046346,8.363,0.188,0.16699999999999998,0.23800000000000002,0.0,0.85,0.857,0.8640000000000001,0.8420000000000001,46.0,50.0,53.0,46.0,
1650670136.205127,8.363,0.222,0.15,0.16699999999999998,0.053,0.857,0.9,0.9,0.857,48.0,50.0,54.0,46.0,
1650670136.405669,8.363,0.35,0.25,0.158,0.095,0.8420000000000001,0.789,0.8420000000000001,0.81,47.0,50.0,54.0,46.0,
1650670136.6061618,8.363,0.15,0.0,0.158,0.0,0.905,0.895,0.857,0.889,48.0,51.0,55.0,47.0,
1650670136.8066583,8.363,0.263,0.25,0.28600000000000003,0.05,0.9,0.81,0.889,0.857,49.0,52.0,56.0,48.0,
1650670137.007182,8.68,0.28600000000000003,0.158,0.2,0.048,0.85,0.9,0.8,0.85,49.0,52.0,55.0,48.0,
1650670137.2076693,8.68,0.17600000000000002,0.055999999999999994,0.111,0.1,0.9,0.895,0.905,0.895,48.0,52.0,55.0,47.0,
1650670137.4081714,8.68,0.158,0.158,0.25,0.19,0.857,0.87,0.857,0.8640000000000001,49.0,53.0,57.0,48.0,
