time,W,usage_c0,usage_c1,usage_c2,usage_c3,usage_c4,usage_c5,usage_c6,usage_c7,temp4,temp5,temp6,temp7,
1651446761.9154513,0.0,0.25,0.8,1.0,1.0,0.833,1.0,1.0,1.0,35.0,38.0,39.0,36.0,
1651446762.1157262,0.0,0.14300000000000002,0.8,0.75,0.81,0.8,0.95,0.737,0.789,35.0,42.0,40.0,36.0,
1651446762.3160782,4.76,0.053,0.0,0.05,0.0,0.05,0.9,0.05,0.05,34.0,39.0,38.0,34.0,
1651446762.5163684,4.76,0.05,0.0,0.048,0.23800000000000002,0.05,0.9,0.05,0.0,34.0,40.0,37.0,33.0,
1651446762.716685,4.76,0.05,0.05,0.0,0.23800000000000002,0.2,0.4,0.35,0.048,33.0,39.0,39.0,33.0,
1651446762.9169858,4.76,0.05,0.048,0.0,0.16699999999999998,0.474,0.25,0.158,0.0,38.0,36.0,37.0,33.0,
1651446763.1172664,4.76,0.05,0.0,0.0,0.25,0.2,0.2,0.474,0.05,33.0,37.0,42.0,34.0,
1651446763.3175466,4.584,0.05,0.0,0.0,0.263,0.33299999999999996,0.158,0.23800000000000002,0.16699999999999998,36.0,35.0,37.0,35.0,
1651446763.5178447,4.584,0.0,0.0,0.0,0.25,0.048,0.4,0.35,0.15,33.0,38.0,40.0,34.0,
1651446763.7181728,4.584,0.048,0.0,0.0,0.28600000000000003,0.2,0.3,0.048,0.47600000000000003,34.0,36.0,37.0,38.0,
1651446763.9184446,4.584,0.05,0.0,0.0,0.28600000000000003,0.2,0.19,0.2,0.4,37.0,36.0,38.0,35.0,
1651446764.1187325,4.584,0.0,0.0,0.0,0.25,0.368,0.2,0.35,0.0,35.0,36.0,40.0,35.0,
1651446764.31903,4.584,0.0,0.0,0.0,0.28600000000000003,0.47600000000000003,0.053,0.0,0.35,35.0,37.0,37.0,35.0,
1651446764.5193548,4.599,0.1,0.0,0.0,0.21100000000000002,0.35,0.263,0.33299999999999996,0.095,35.0,36.0,42.0,34.0,
1651446764.7196462,4.599,0.0,0.05,0.0,0.28600000000000003,0.05,0.524,0.053,0.316,34.0,39.0,38.0,35.0,
1651446764.9199212,4.599,0.1,0.095,0.055999999999999994,0.222,0.28600000000000003,0.35,0.05,0.4,35.0,39.0,38.0,36.0,
1651446765.1201415,4.599,0.05,0.17600000000000002,0.348,0.409,0.2,0.591,0.5710000000000001,0.053,36.0,41.0,40.0,35.0,
1651446765.320431,4.405,0.105,0.05,0.105,0.25,0.222,0.35,0.263,0.35,37.0,37.0,39.0,37.0,
1651446765.5207412,4.405,0.0,0.0,0.0,0.21100000000000002,0.45,0.45,0.0,0.0,36.0,39.0,38.0,35.0,
1651446765.7210345,4.405,0.048,0.0,0.0,0.25,0.35,0.35,0.15,0.0,35.0,40.0,38.0,34.0,
1651446765.921334,4.405,0.05,0.048,0.0,0.3,0.158,0.35,0.2,0.23800000000000002,35.0,39.0,39.0,35.0,
1651446766.1216347,4.405,0.0,0.0,0.0,0.21100000000000002,0.3,0.2,0.318,0.2,35.0,36.0,41.0,36.0,
1651446766.3219476,4.607,0.095,0.0,0.0,0.25,0.368,0.15,0.263,0.2,36.0,38.0,38.0,35.0,
1651446766.5222433,4.607,0.0,0.05,0.0,0.25,0.15,0.455,0.316,0.048,39.0,37.0,39.0,35.0,
1651446766.722537,4.607,0.05,0.0,0.0,0.318,0.35,0.35,0.2,0.1,35.0,37.0,41.0,36.0,
1651446766.922834,4.607,0.0,0.0,0.0,0.25,0.0,0.158,0.21100000000000002,0.45,34.0,38.0,41.0,36.0,
1651446767.1231518,4.607,0.0,0.0,0.0,0.25,0.0,0.2,0.28600000000000003,0.45,34.0,37.0,40.0,38.0,
1651446767.323473,4.58,0.095,0.0,0.0,0.21100000000000002,0.2,0.158,0.2,0.429,35.0,39.0,39.0,36.0,
1651446767.523751,4.58,0.0,0.0,0.0,0.263,0.19,0.0,0.316,0.35,37.0,36.0,39.0,36.0,
1651446767.724058,4.58,0.05,0.0,0.048,0.25,0.158,0.2,0.23800000000000002,0.368,34.0,37.0,40.0,38.0,
1651446767.9243565,4.58,0.05,0.0,0.0,0.23800000000000002,0.048,0.2,0.47600000000000003,0.28600000000000003,34.0,36.0,43.0,36.0,
1651446768.124674,4.58,0.048,0.0,0.0,0.25,0.158,0.158,0.368,0.158,35.0,37.0,43.0,36.0,
1651446768.3249848,4.58,0.05,0.0,0.0,0.364,0.158,0.3,0.2,0.28600000000000003,35.0,39.0,39.0,36.0,
1651446768.5252893,4.596,0.05,0.0,0.0,0.25,0.158,0.158,0.21100000000000002,0.33299999999999996,34.0,37.0,42.0,37.0,
1651446768.7256055,4.596,0.05,0.0,0.05,0.25,0.048,0.316,0.2,0.316,34.0,38.0,42.0,36.0,
1651446768.9259074,4.596,0.0,0.0,0.0,0.25,0.05,0.35,0.368,0.2,34.0,38.0,44.0,35.0,
1651446769.1261952,4.596,0.0,0.0,0.05,0.263,0.524,0.2,0.095,0.158,37.0,36.0,39.0,36.0,
1651446769.326485,4.596,0.095,0.0,0.0,0.25,0.21100000000000002,0.0,0.35,0.4,35.0,36.0,39.0,39.0,
1651446769.526786,4.489,0.0,0.0,0.0,0.23800000000000002,0.2,0.33299999999999996,0.05,0.45,35.0,39.0,39.0,37.0,
1651446769.7271054,4.489,0.0,0.0,0.0,0.28600000000000003,0.19,0.4,0.0,0.316,39.0,36.0,38.0,36.0,
1651446769.927407,4.489,0.048,0.0,0.0,0.263,0.2,0.15,0.05,0.45,35.0,36.0,39.0,38.0,
1651446770.1276972,4.489,0.05,0.0,0.0,0.28600000000000003,0.381,0.158,0.25,0.2,35.0,37.0,43.0,36.0,
1651446770.3280454,4.523,0.095,0.0,0.05,0.28600000000000003,0.158,0.23800000000000002,0.263,0.263,36.0,36.0,39.0,38.0,
1651446770.5283456,4.523,0.05,0.0,0.0,0.21100000000000002,0.0,0.158,0.35,0.429,34.0,37.0,40.0,39.0,
1651446770.7286484,4.523,0.0,0.0,0.0,0.318,0.05,0.381,0.23800000000000002,0.35,35.0,38.0,39.0,38.0,
1651446770.9289486,4.523,0.095,0.0,0.048,0.25,0.0,0.368,0.19,0.35,34.0,39.0,41.0,36.0,
1651446771.1292524,4.523,0.053,0.0,0.0,0.21100000000000002,0.2,0.105,0.3,0.35,35.0,37.0,43.0,37.0,
1651446771.3295467,4.63,0.1,0.0,0.0,0.21100000000000002,0.05,0.381,0.368,0.23800000000000002,34.0,38.0,44.0,36.0,
1651446771.529823,4.63,0.0,0.0,0.0,0.3,0.35,0.35,0.05,0.15,38.0,38.0,40.0,35.0,
1651446771.7301216,4.63,0.05,0.0,0.05,0.25,0.05,0.316,0.28600000000000003,0.316,35.0,37.0,41.0,37.0,
1651446771.9304202,4.63,0.05,0.0,0.0,0.23800000000000002,0.263,0.0,0.105,0.5,39.0,36.0,39.0,37.0,
1651446772.1307352,4.63,0.05,0.0,0.0,0.28600000000000003,0.455,0.05,0.05,0.474,36.0,36.0,39.0,39.0,
1651446772.3310275,4.592,0.053,0.0,0.0,0.263,0.0,0.35,0.21100000000000002,0.409,35.0,38.0,40.0,39.0,
1651446772.5313056,4.592,0.048,0.0,0.0,0.25,0.316,0.25,0.22699999999999998,0.158,35.0,38.0,40.0,37.0,
1651446772.7315967,4.592,0.05,0.05,0.0,0.25,0.2,0.15,0.2,0.45,36.0,37.0,39.0,39.0,
1651446772.9319084,4.592,0.0,0.0,0.0,0.21100000000000002,0.095,0.263,0.0,0.55,35.0,40.0,39.0,37.0,
1651446773.132202,4.592,0.095,0.0,0.0,0.28600000000000003,0.16699999999999998,0.4,0.0,0.316,36.0,38.0,39.0,39.0,
1651446773.3324769,4.55,0.053,0.0,0.0,0.21100000000000002,0.35,0.2,0.0,0.35,38.0,38.0,39.0,36.0,
1651446773.5327816,4.55,0.0,0.0,0.0,0.28600000000000003,0.158,0.15,0.316,0.25,35.0,37.0,41.0,38.0,
1651446773.733103,4.55,0.095,0.0,0.0,0.25,0.2,0.0,0.15,0.55,35.0,37.0,43.0,37.0,
1651446773.9334028,4.55,0.0,0.05,0.0,0.25,0.0,0.409,0.053,0.526,35.0,38.0,39.0,39.0,
1651446774.1336846,4.55,0.05,0.0,0.0,0.25,0.05,0.5,0.158,0.2,36.0,40.0,40.0,36.0,
1651446774.3339708,4.55,0.053,0.0,0.0,0.21100000000000002,0.5,0.35,0.053,0.048,37.0,38.0,41.0,36.0,
1651446774.5342724,4.542,0.095,0.048,0.0,0.25,0.316,0.158,0.19,0.33299999999999996,37.0,37.0,39.0,39.0,
1651446774.734579,4.542,0.0,0.0,0.0,0.25,0.095,0.15,0.3,0.4,35.0,38.0,44.0,36.0,
1651446774.934869,4.542,0.1,0.0,0.0,0.263,0.0,0.35,0.35,0.158,35.0,41.0,41.0,36.0,
1651446775.1351683,4.542,0.053,0.0,0.0,0.25,0.05,0.526,0.21100000000000002,0.2,35.0,40.0,41.0,36.0,
1651446775.3354533,4.546,0.05,0.0,0.048,0.28600000000000003,0.15,0.35,0.316,0.158,38.0,38.0,40.0,37.0,
1651446775.5357618,4.546,0.0,0.0,0.0,0.28600000000000003,0.35,0.381,0.15,0.0,39.0,38.0,40.0,35.0,
1651446775.736069,4.546,0.095,0.0,0.0,0.23800000000000002,0.21100000000000002,0.35,0.35,0.05,39.0,38.0,40.0,36.0,
1651446775.936357,4.546,0.05,0.0,0.048,0.263,0.35,0.381,0.23800000000000002,0.0,36.0,39.0,43.0,36.0,
1651446776.1366541,4.626,0.05,0.0,0.0,0.25,0.05,0.316,0.5710000000000001,0.095,35.0,39.0,45.0,36.0,
1651446776.3369656,4.626,0.14300000000000002,0.0,0.0,0.25,0.2,0.15,0.368,0.158,36.0,37.0,44.0,36.0,
1651446776.5372744,4.626,0.0,0.0,0.0,0.25,0.35,0.35,0.21100000000000002,0.0,36.0,39.0,44.0,35.0,
1651446776.737542,4.626,0.0,0.0,0.048,0.318,0.091,0.111,0.381,0.35,35.0,37.0,41.0,39.0,
1651446776.9378314,4.626,0.05,0.0,0.0,0.28600000000000003,0.316,0.273,0.35,0.05,37.0,39.0,40.0,36.0,
1651446777.1381323,4.626,0.05,0.0,0.0,0.21100000000000002,0.158,0.444,0.3,0.0,35.0,39.0,43.0,36.0,
1651446777.3384342,4.592,0.05,0.0,0.0,0.25,0.35,0.273,0.409,0.05,36.0,38.0,44.0,36.0,
1651446777.5387092,4.592,0.0,0.0,0.0,0.21100000000000002,0.35,0.316,0.0,0.23800000000000002,36.0,37.0,39.0,39.0,
1651446777.7390006,4.592,0.095,0.0,0.0,0.263,0.2,0.19,0.33299999999999996,0.158,37.0,38.0,42.0,36.0,
1651446777.9393144,4.592,0.0,0.0,0.0,0.25,0.33299999999999996,0.2,0.42100000000000004,0.095,35.0,39.0,43.0,36.0,
1651446778.1396298,4.592,0.0,0.0,0.095,0.2,0.368,0.0,0.318,0.3,36.0,37.0,40.0,40.0,
1651446778.339919,4.592,0.05,0.0,0.0,0.3,0.15,0.33299999999999996,0.35,0.0,35.0,41.0,41.0,36.0,
1651446778.5402272,4.592,0.053,0.0,0.0,0.25,0.35,0.136,0.0,0.5,36.0,38.0,39.0,38.0,
1651446778.7405446,4.592,0.0,0.0,0.0,0.28600000000000003,0.15,0.4,0.35,0.0,36.0,40.0,40.0,36.0,
1651446778.9408674,4.592,0.048,0.0,0.0,0.25,0.3,0.2,0.0,0.35,40.0,37.0,39.0,37.0,
1651446779.1411371,4.592,0.048,0.0,0.0,0.25,0.2,0.2,0.2,0.35,35.0,38.0,42.0,36.0,
1651446779.341416,4.592,0.0,0.0,0.0,0.263,0.2,0.316,0.053,0.316,36.0,39.0,41.0,36.0,
1651446779.541727,4.592,0.0,0.0,0.05,0.23800000000000002,0.19,0.15,0.263,0.35,35.0,39.0,40.0,37.0,
1651446779.7420585,4.538,0.095,0.0,0.0,0.25,0.35,0.526,0.048,0.0,36.0,41.0,39.0,36.0,
1651446779.9423318,4.538,0.05,0.0,0.0,0.3,0.091,0.35,0.368,0.2,35.0,39.0,44.0,36.0,
1651446780.142636,4.538,0.048,0.0,0.0,0.25,0.0,0.4,0.2,0.381,35.0,41.0,40.0,36.0,
