time,W,usage_c0,usage_c1,usage_c2,usage_c3,usage_c4,usage_c5,usage_c6,usage_c7,temp4,temp5,temp6,temp7,
1651448425.568695,0.0,0.375,0.026000000000000002,0.39,0.366,0.39,0.39,0.375,0.951,37.0,36.0,39.0,40.0,
1651448425.7689922,0.0,0.389,0.095,0.0,0.048,0.75,0.0,0.1,0.0,38.0,36.0,39.0,35.0,
1651448425.969289,0.0,0.4,0.0,0.0,0.0,0.33299999999999996,0.21100000000000002,0.19,0.1,34.0,38.0,39.0,35.0,
1651448426.1695783,0.0,0.5,0.0,0.0,0.0,0.25,0.35,0.111,0.1,35.0,39.0,37.0,34.0,
1651448426.3698623,0.0,0.5,0.0,0.0,0.048,0.25,0.28600000000000003,0.0,0.263,35.0,38.0,37.0,34.0,
1651448426.5701382,0.0,0.45,0.0,0.0,0.0,0.263,0.3,0.048,0.25,36.0,37.0,37.0,35.0,
1651448426.7704425,4.283,0.5,0.0,0.0,0.0,0.263,0.1,0.28600000000000003,0.25,34.0,35.0,42.0,35.0,
1651448426.9707296,4.283,0.444,0.05,0.048,0.0,0.368,0.14300000000000002,0.35,0.0,35.0,37.0,38.0,34.0,
1651448427.1710165,4.283,0.5,0.0,0.0,0.0,0.4,0.35,0.0,0.1,35.0,37.0,37.0,34.0,
1651448427.3713043,4.263,0.444,0.0,0.0,0.0,0.4,0.15,0.2,0.1,36.0,36.0,38.0,34.0,
1651448427.5715945,4.263,0.474,0.05,0.0,0.05,0.2,0.21100000000000002,0.182,0.33299999999999996,34.0,37.0,39.0,35.0,
1651448427.7718928,4.263,0.47600000000000003,0.0,0.0,0.048,0.0,0.14300000000000002,0.42100000000000004,0.3,33.0,36.0,41.0,36.0,
1651448427.9722018,4.263,0.444,0.0,0.0,0.048,0.15,0.3,0.158,0.263,34.0,38.0,38.0,35.0,
1651448428.1724916,4.416,0.524,0.048,0.0,0.0,0.2,0.263,0.21100000000000002,0.1,36.0,37.0,38.0,35.0,
1651448428.3727922,4.416,0.524,0.0,0.0,0.0,0.158,0.15,0.053,0.42100000000000004,34.0,35.0,38.0,38.0,
1651448428.573091,4.416,0.42100000000000004,0.0,0.0,0.048,0.05,0.25,0.21100000000000002,0.35,33.0,35.0,41.0,36.0,
1651448428.7733703,4.416,0.545,0.05,0.0,0.0,0.3,0.35,0.1,0.14300000000000002,35.0,37.0,40.0,34.0,
1651448428.973641,4.416,0.47600000000000003,0.0,0.0,0.0,0.14300000000000002,0.35,0.19,0.21100000000000002,34.0,37.0,38.0,37.0,
1651448429.1739361,4.416,0.524,0.05,0.0,0.048,0.35,0.1,0.158,0.21100000000000002,34.0,38.0,39.0,35.0,
1651448429.3742085,4.466,0.474,0.05,0.0,0.0,0.3,0.263,0.05,0.23800000000000002,35.0,36.0,37.0,36.0,
1651448429.5744772,4.466,0.5,0.0,0.0,0.05,0.35,0.19,0.3,0.136,34.0,37.0,40.0,35.0,
1651448429.7747602,4.466,0.45,0.0,0.0,0.048,0.21100000000000002,0.3,0.2,0.105,35.0,38.0,39.0,35.0,
1651448429.9751227,4.466,0.5,0.0,0.0,0.0,0.25,0.28600000000000003,0.05,0.3,35.0,37.0,38.0,36.0,
1651448430.1754227,4.466,0.474,0.048,0.0,0.0,0.381,0.1,0.19,0.263,37.0,35.0,38.0,36.0,
1651448430.3757188,4.405,0.47600000000000003,0.053,0.0,0.048,0.16699999999999998,0.2,0.23800000000000002,0.273,35.0,37.0,41.0,35.0,
1651448430.5760596,4.405,0.47600000000000003,0.0,0.05,0.0,0.1,0.368,0.263,0.14300000000000002,34.0,37.0,41.0,35.0,
1651448430.7763622,4.405,0.524,0.0,0.0,0.0,0.15,0.25,0.33299999999999996,0.15,35.0,36.0,39.0,37.0,
1651448430.9766374,4.405,0.45,0.0,0.0,0.048,0.263,0.15,0.21100000000000002,0.25,35.0,36.0,41.0,35.0,
1651448431.1769311,4.405,0.474,0.05,0.05,0.0,0.3,0.3,0.1,0.1,37.0,37.0,38.0,35.0,
1651448431.3772173,4.405,0.5,0.0,0.0,0.0,0.25,0.158,0.158,0.2,35.0,36.0,40.0,35.0,
1651448431.577491,4.439,0.5,0.048,0.048,0.048,0.3,0.21100000000000002,0.158,0.1,35.0,37.0,40.0,35.0,
1651448431.777772,4.439,0.5,0.0,0.0,0.0,0.2,0.19,0.2,0.263,34.0,37.0,38.0,37.0,
1651448431.9780796,4.439,0.429,0.0,0.0,0.0,0.23800000000000002,0.14300000000000002,0.381,0.23800000000000002,38.0,36.0,39.0,35.0,
1651448432.1783621,4.408,0.474,0.0,0.0,0.0,0.316,0.2,0.158,0.158,38.0,36.0,38.0,36.0,
1651448432.3786469,4.408,0.5,0.0,0.0,0.0,0.14300000000000002,0.278,0.33299999999999996,0.1,34.0,39.0,40.0,35.0,
1651448432.5789318,4.408,0.545,0.0,0.048,0.048,0.316,0.19,0.316,0.0,37.0,37.0,39.0,35.0,
1651448432.7792172,4.408,0.524,0.0,0.0,0.0,0.263,0.05,0.263,0.158,38.0,36.0,40.0,35.0,
1651448432.9794924,4.408,0.47600000000000003,0.0,0.05,0.095,0.316,0.19,0.21100000000000002,0.19,35.0,36.0,40.0,35.0,
1651448433.1798143,4.408,0.444,0.21100000000000002,0.15,0.14300000000000002,0.28600000000000003,0.35,0.21100000000000002,0.263,35.0,39.0,39.0,36.0,
1651448433.3801384,4.408,0.318,0.19,0.278,0.0,0.21100000000000002,0.2,0.905,0.263,36.0,39.0,46.0,37.0,
1651448433.5804143,4.454,0.105,0.05,0.05,0.0,0.47600000000000003,0.33299999999999996,0.35,0.14300000000000002,40.0,39.0,40.0,36.0,
1651448433.7806885,4.454,0.105,0.0,0.0,0.048,0.6,0.368,0.053,0.0,38.0,41.0,40.0,36.0,
1651448433.9809916,4.454,0.05,0.0,0.048,0.0,0.2,0.33299999999999996,0.15,0.55,39.0,39.0,40.0,38.0,
1651448434.1812859,4.454,0.095,0.0,0.0,0.0,0.579,0.158,0.33299999999999996,0.053,38.0,39.0,42.0,36.0,
1651448434.381749,5.019,0.053,0.0,0.05,0.0,0.526,0.05,0.5,0.05,40.0,38.0,42.0,36.0,
1651448434.5820286,5.019,0.048,0.0,0.0,0.0,0.25,0.4,0.45,0.095,36.0,41.0,45.0,36.0,
1651448434.7823374,5.019,0.0,0.0,0.0,0.048,0.19,0.055999999999999994,0.727,0.15,36.0,39.0,46.0,37.0,
1651448434.98264,5.019,0.05,0.0,0.0,0.0,0.16699999999999998,0.55,0.158,0.15,37.0,40.0,41.0,37.0,
1651448435.1829383,5.019,0.0,0.0,0.0,0.05,0.14300000000000002,0.737,0.1,0.158,36.0,43.0,40.0,36.0,
1651448435.383243,5.019,0.0,0.0,0.0,0.05,0.05,0.667,0.1,0.381,36.0,39.0,40.0,41.0,
1651448435.5835514,5.019,0.0,0.0,0.0,0.0,0.1,0.45,0.095,0.526,38.0,40.0,41.0,38.0,
1651448435.7838275,4.97,0.1,0.0,0.0,0.048,0.381,0.474,0.23800000000000002,0.14300000000000002,36.0,40.0,43.0,38.0,
1651448435.984124,4.97,0.1,0.0,0.0,0.05,0.429,0.45,0.15,0.21100000000000002,39.0,40.0,41.0,38.0,
1651448436.1844294,4.943,0.05,0.0,0.05,0.0,0.23800000000000002,0.619,0.15,0.19,37.0,44.0,41.0,37.0,
1651448436.3847167,4.943,0.095,0.0,0.05,0.0,0.25,0.611,0.053,0.21100000000000002,39.0,39.0,40.0,39.0,
1651448436.5850108,4.943,0.0,0.0,0.0,0.048,0.4,0.429,0.05,0.222,38.0,42.0,40.0,37.0,
