time,W,usage_c0,usage_c1,usage_c2,usage_c3,usage_c4,usage_c5,usage_c6,usage_c7,temp4,temp5,temp6,temp7,
1651446918.8948302,0.0,0.6,0.833,0.5,1.0,1.0,1.0,0.8,0.8,38.0,38.0,38.0,34.0,
1651446919.0951571,0.0,0.222,0.95,0.9,0.905,0.9129999999999999,0.905,0.95,0.9520000000000001,38.0,40.0,42.0,37.0,
1651446919.2954404,7.653,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.05,33.0,37.0,45.0,35.0,
1651446919.495757,7.653,0.053,0.0,0.2,0.05,0.579,0.1,0.21100000000000002,0.095,38.0,35.0,37.0,34.0,
1651446919.6960638,7.653,0.05,0.048,0.25,0.05,0.368,0.158,0.15,0.2,33.0,35.0,38.0,36.0,
1651446919.8963792,7.653,0.05,0.0,0.25,0.0,0.2,0.23800000000000002,0.45,0.15,33.0,36.0,42.0,34.0,
1651446920.096665,7.653,0.05,0.0,0.263,0.048,0.15,0.15,0.25,0.316,34.0,37.0,40.0,34.0,
1651446920.2969644,4.592,0.1,0.0,0.158,0.05,0.35,0.0,0.45,0.2,37.0,35.0,39.0,34.0,
1651446920.497265,4.592,0.0,0.05,0.3,0.0,0.4,0.0,0.35,0.19,37.0,35.0,40.0,34.0,
1651446920.6975443,4.592,0.095,0.0,0.318,0.0,0.368,0.05,0.3,0.158,34.0,35.0,42.0,34.0,
1651446920.8978505,4.592,0.0,0.05,0.318,0.05,0.25,0.19,0.42100000000000004,0.0,37.0,36.0,40.0,34.0,
1651446921.0981462,4.592,0.05,0.0,0.3,0.0,0.4,0.05,0.474,0.05,34.0,36.0,41.0,35.0,
1651446921.2984505,4.538,0.105,0.048,0.28600000000000003,0.05,0.158,0.158,0.158,0.45,34.0,37.0,39.0,37.0,
1651446921.4987564,4.538,0.0,0.05,0.33299999999999996,0.0,0.3,0.0,0.2,0.368,34.0,36.0,40.0,36.0,
1651446921.6990957,4.538,0.095,0.0,0.2,0.0,0.3,0.2,0.263,0.15,38.0,36.0,38.0,35.0,
1651446921.8993897,4.538,0.0,0.0,0.263,0.0,0.25,0.2,0.33299999999999996,0.2,37.0,37.0,39.0,35.0,
1651446922.0996833,4.538,0.05,0.0,0.21100000000000002,0.048,0.25,0.2,0.5,0.048,34.0,37.0,43.0,35.0,
1651446922.299976,4.55,0.095,0.091,0.25,0.0,0.316,0.05,0.4,0.158,34.0,36.0,42.0,36.0,
1651446922.500256,4.55,0.0,0.0,0.263,0.0,0.2,0.0,0.429,0.316,34.0,36.0,42.0,36.0,
1651446922.7005646,4.55,0.095,0.0,0.25,0.0,0.429,0.158,0.158,0.19,38.0,36.0,40.0,35.0,
1651446922.9008443,4.55,0.0,0.0,0.33299999999999996,0.0,0.381,0.19,0.16699999999999998,0.158,36.0,36.0,41.0,35.0,
1651446923.1011522,4.55,0.05,0.048,0.304,0.0,0.158,0.2,0.455,0.2,34.0,37.0,43.0,35.0,
1651446923.301444,4.55,0.095,0.0,0.364,0.0,0.381,0.05,0.21100000000000002,0.35,36.0,36.0,39.0,37.0,
1651446923.5017254,4.55,0.0,0.05,0.25,0.0,0.0,0.0,0.3,0.579,34.0,36.0,40.0,38.0,
1651446923.7020285,4.55,0.0,0.05,0.263,0.0,0.19,0.222,0.158,0.33299999999999996,34.0,38.0,40.0,36.0,
1651446923.9023306,4.55,0.05,0.0,0.263,0.0,0.14300000000000002,0.095,0.47600000000000003,0.35,35.0,36.0,42.0,36.0,
1651446924.1026511,4.55,0.05,0.095,0.273,0.05,0.25,0.05,0.158,0.47600000000000003,38.0,36.0,39.0,37.0,
1651446924.302949,4.55,0.05,0.048,0.263,0.0,0.35,0.0,0.25,0.316,36.0,36.0,42.0,36.0,
1651446924.5032363,4.607,0.053,0.0,0.318,0.0,0.316,0.23800000000000002,0.28600000000000003,0.15,35.0,36.0,39.0,38.0,
1651446924.7035356,4.607,0.19,0.21100000000000002,0.381,0.158,0.15,0.25,0.3,0.619,35.0,37.0,43.0,38.0,
1651446924.903816,4.607,0.14300000000000002,0.263,0.25,0.095,0.222,0.45,0.579,0.4,36.0,40.0,41.0,38.0,
1651446925.1041014,4.607,0.0,0.0,0.0,0.0,0.47600000000000003,0.15,0.2,0.263,40.0,37.0,40.0,37.0,
1651446925.3043797,5.05,0.053,0.0,0.0,0.0,0.474,0.23800000000000002,0.053,0.42100000000000004,38.0,38.0,39.0,39.0,
1651446925.504667,5.05,0.0,0.0,0.0,0.05,0.05,0.316,0.33299999999999996,0.368,36.0,41.0,41.0,37.0,
1651446925.704975,5.05,0.05,0.0,0.0,0.0,0.158,0.19,0.5,0.364,36.0,40.0,41.0,36.0,
1651446925.9052515,5.05,0.05,0.0,0.0,0.0,0.053,0.9470000000000001,0.05,0.05,38.0,42.0,40.0,35.0,
1651446926.1055727,5.05,0.0,0.0,0.0,0.0,0.5710000000000001,0.273,0.048,0.35,41.0,38.0,39.0,36.0,
1651446926.3058739,5.05,0.0,0.0,0.0,0.0,0.316,0.3,0.15,0.3,38.0,38.0,43.0,37.0,
1651446926.5061805,5.05,0.0,0.0,0.0,0.0,0.33299999999999996,0.095,0.55,0.2,36.0,38.0,44.0,37.0,
1651446926.7065,5.05,0.05,0.0,0.0,0.0,0.3,0.474,0.158,0.105,36.0,39.0,42.0,39.0,
1651446926.906806,4.939,0.14300000000000002,0.0,0.0,0.095,0.35,0.316,0.15,0.3,37.0,39.0,43.0,38.0,
