time,W,usage_c0,usage_c1,usage_c2,usage_c3,usage_c4,usage_c5,usage_c6,usage_c7,temp4,temp5,temp6,temp7,
1650839047.6370053,0.0,0.429,1.0,1.0,1.0,1.0,1.0,1.0,1.0,40.0,42.0,43.0,38.0,
1650839047.8372855,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.053,0.9470000000000001,34.0,35.0,38.0,39.0,
1650839048.0375974,0.0,0.136,0.05,0.0,0.0,0.0,0.05,0.05,0.9,33.0,34.0,37.0,39.0,
1650839048.2378917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.0,34.0,38.0,41.0,
1650839048.4381611,4.47,0.05,0.7140000000000001,0.7,0.682,0.353,0.33299999999999996,0.444,0.647,39.0,40.0,45.0,39.0,
1650839048.6384544,4.47,0.158,1.0,1.0,0.9,0.611,0.6920000000000001,0.556,0.565,42.0,43.0,46.0,40.0,
1650839048.838727,4.47,0.23800000000000002,0.0,0.0,0.1,0.55,0.75,0.762,0.632,41.0,44.0,51.0,41.0,
1650839049.039006,4.47,0.0,0.0,0.0,0.0,0.5710000000000001,1.0,0.591,0.55,41.0,48.0,47.0,41.0,
1650839049.239331,4.47,0.19,0.591,0.05,0.0,0.65,0.611,0.737,0.667,44.0,45.0,48.0,42.0,
1650839049.4396183,7.206,0.105,0.15,0.0,0.0,0.95,0.6,0.6,0.579,46.0,45.0,48.0,42.0,
1650839049.6398973,7.206,0.053,0.05,0.0,0.05,0.722,0.526,0.8,0.545,43.0,46.0,53.0,42.0,
1650839049.8400693,7.206,0.28600000000000003,0.0,0.0,0.0,0.591,0.6,0.591,0.9470000000000001,43.0,47.0,49.0,44.0,
1650839050.040351,7.206,0.611,0.158,0.0,0.0,0.6,0.8,0.65,0.579,45.0,48.0,50.0,43.0,
1650839050.2406366,7.111,0.4,0.4,0.158,0.158,0.708,0.632,0.667,0.8,44.0,47.0,51.0,44.0,
1650839050.4409235,7.111,0.053,0.0,0.1,0.05,0.556,0.909,0.526,0.579,44.0,51.0,50.0,44.0,
1650839050.6411972,7.111,0.095,0.105,0.05,0.05,0.9,0.5710000000000001,0.65,0.55,45.0,47.0,53.0,43.0,
1650839050.841479,7.111,0.1,0.0,0.368,0.048,0.7,0.632,0.75,0.579,45.0,48.0,54.0,44.0,
1650839051.041799,7.111,0.053,0.05,0.0,0.095,0.5710000000000001,0.5710000000000001,0.9470000000000001,0.591,45.0,48.0,54.0,44.0,
1650839051.2420702,7.168,0.1,0.2,0.0,0.0,0.857,0.611,0.6,0.526,48.0,48.0,50.0,44.0,
1650839051.4423447,7.168,0.05,0.05,0.0,0.0,0.81,0.5710000000000001,0.55,0.762,48.0,48.0,51.0,45.0,
1650839051.642635,7.168,0.158,0.19,0.048,0.0,0.8420000000000001,0.65,0.619,0.619,46.0,49.0,51.0,46.0,
1650839051.8429196,7.168,0.15,0.3,0.0,0.1,0.9,0.579,0.55,0.579,49.0,48.0,50.0,44.0,
1650839052.0431998,7.168,0.263,0.0,0.0,0.0,0.5,0.579,0.905,0.529,45.0,49.0,56.0,45.0,
1650839052.243476,7.168,0.3,0.0,0.0,0.0,0.579,0.556,0.895,0.579,45.0,49.0,54.0,45.0,
1650839052.4437459,7.264,0.16699999999999998,0.368,0.095,0.0,0.722,0.526,0.444,0.556,45.0,49.0,51.0,46.0,
1650839052.6440704,7.264,0.28600000000000003,0.05,0.0,0.053,0.5710000000000001,0.9,0.55,0.55,44.0,50.0,51.0,44.0,
